# Metric definitions:
# fact_coverage: Fraction of required key facts present in the generated email subject/body. This score is the number of matched facts divided by the total required facts.
# tone_score: Degree to which the generated email matches the requested tone. Uses an LLM judge when available, otherwise keyword matching fallback.
# structure_score: Email structure score based on presence of subject, appropriate length, greeting, and closing, capped at 1.0.

"id","intent","key_facts","tone","reference_email","subject","body","fact_coverage","tone_score","structure_score","avg"
"1","Follow up after interview","[""Interview was on Monday"", ""Position: Backend Engineer"", ""Want to know next steps""]","formal","Dear Sir/Madam, thank you for the interview on Monday. I appreciated the opportunity to discuss the Backend Engineer position and would like to learn about the next steps in the process.","Follow-Up on Backend Engineer Interview","Dear [Interviewer's Name],

I hope this message finds you well. I am writing to follow up on my interview for the Backend Engineer position that took place on Monday. I would like to express my gratitude for the opportunity to discuss my qualifications and learn more about the exciting projects at [Company Name]. 

I am eager to know about the next steps in the hiring process and any updates you may have regarding my application. Thank you once again for the opportunity, and I look forward to your response.

Best regards,

[Your Name]
[Your Contact Information]","1.0","1.0","1.0","1.0"
"2","Request project deadline extension","[""Current deadline is Friday"", ""Need extra 3 days"", ""Reason: unexpected server issue""]","professional","Hello, I am writing to request a brief extension on the current project deadline. The deadline is Friday, but due to an unexpected server issue, we need an additional three days to complete the work.","Request for Project Deadline Extension","Dear [Recipient's Name],

I hope this message finds you well. I am writing to request a brief extension for the current project deadline, which is set for this Friday. Due to an unexpected server issue that has arisen, I believe that an additional three days would allow us to resolve these challenges and ensure the final deliverables meet our quality standards.

I appreciate your understanding and support in this matter. Please let me know if this extension can be accommodated.

Thank you for considering my request.

Best regards,

[Your Name]  
[Your Position]  
[Your Contact Information]","1.0","1.0","1.0","1.0"
"3","Announce product launch","[""Launch date is July 1st"", ""New feature: real-time collaboration"", ""Early access available for beta users""]","exciting","Hi Team, I am thrilled to announce our product launch on July 1st. The new real-time collaboration feature will be available, and beta users can access early access starting next week.","Exciting News: Launch of Our New Real-Time Collaboration Feature!","Dear Team,

We are thrilled to announce that on July 1st, we will be launching an exciting new product that promises to revolutionize the way our users collaborate in real-time. This innovative feature is designed to enhance teamwork and streamline communication, making it easier for users to connect and work together seamlessly.

As a token of appreciation for our dedicated beta users, we are offering early access to this feature, allowing you to experience its benefits before the official launch. We can’t wait for you to explore all the possibilities that real-time collaboration will bring to your projects.

Stay tuned for more updates as we approach the launch date!

Best regards,

[Your Name]  
[Your Position]  
[Your Company]","1.0","0.8","1.0","0.9333"
"4","Apologize for service outage","[""Outage lasted 2 hours"", ""Affected all users"", ""Root cause: database migration failure""]","empathetic","Dear customer, we sincerely apologize for the two-hour service outage that affected all users. The issue was caused by a database migration failure, and we are taking immediate steps to prevent this from happening again.","Our Apology for the Recent Service Outage","Dear Valued Users,

I hope this message finds you well. We want to sincerely apologize for the recent service outage that affected all users for a duration of two hours. We understand how important our service is to you, and we recognize the inconvenience this disruption may have caused.

The outage was due to a failure during a database migration, which we are currently addressing to ensure it does not happen again in the future. Our team is committed to providing you with reliable service, and we appreciate your patience and understanding as we work to resolve this issue.

Thank you for your continued support.

Warm regards,

[Your Name]  
[Your Position]  
[Your Company]  
[Your Contact Information]","1.0","0.9","1.0","0.9667"
"5","Invite to weekly sync","[""Sync every Monday at 10 AM"", ""Agenda: roadmap, blockers, updates"", ""Please bring status reports""]","friendly","Hello team, please join our weekly sync every Monday at 10 AM. We will cover the roadmap, blockers, and updates. Bring your status reports so we can keep everything aligned.","Weekly Sync Invitation","Hi Team,

I hope this message finds you well! I’d like to invite you to our weekly sync every Monday at 10 AM. During our meetings, we’ll cover important topics such as our roadmap, any blockers we might be facing, and provide updates on our projects.

Please remember to bring your status reports so we can ensure everyone is on the same page.

Looking forward to our discussions!

Best regards,

[Your Name]","1.0","0.7","0.8","0.8333"
"6","Confirm client presentation","[""Presentation scheduled for next Wednesday"", ""Location: Conference Room B"", ""Bring updated slide deck""]","formal","Dear Client, I am writing to confirm the presentation scheduled for next Wednesday in Conference Room B. Please bring the updated slide deck so we can review the latest details together.","Confirmation of Upcoming Client Presentation","Dear [Client's Name],

I hope this message finds you well. I am writing to confirm our upcoming presentation scheduled for next Wednesday in Conference Room B. 

Please ensure to bring the updated slide deck with you for our discussion. 

Looking forward to our meeting.

Best regards,

[Your Name]  
[Your Position]  
[Your Company]  
[Your Contact Information]","1.0","1.0","1.0","1.0"
"7","Share project milestone success","[""Milestone completed ahead of time"", ""Quality checks passed"", ""Team thanks stakeholders""]","appreciative","Hi everyone, I am pleased to share that we completed the milestone ahead of schedule and passed all quality checks. Thank you to the team and stakeholders for your support.","Celebrating Our Project Milestone Success","Dear Team,

I am thrilled to share that we have successfully completed a significant project milestone ahead of schedule. This achievement is a testament to the hard work and dedication of everyone involved. Additionally, I am pleased to report that all quality checks have passed with flying colors, ensuring that we maintain our high standards.

I would like to take this opportunity to extend our heartfelt thanks to all stakeholders for your unwavering support and collaboration throughout this process. Your contributions have been invaluable in reaching this success.

Let’s continue to build on this momentum as we move forward. 

Best regards,

[Your Name]  
[Your Position]  
[Your Company]","1.0","1.0","1.0","1.0"
"8","Request feedback on proposal","[""Proposal submitted yesterday"", ""Needs review by end of week"", ""Open to suggestions""]","professional","Hello, I submitted the proposal yesterday and would appreciate your review by the end of the week. I am open to any suggestions you may have.","Request for Feedback on Proposal Submission","Dear [Recipient's Name],

I hope this message finds you well. I am writing to follow up on the proposal I submitted yesterday. I would greatly appreciate your feedback on it, as I am eager to incorporate any suggestions you may have.

To ensure we stay on track, it would be beneficial to receive your insights by the end of this week. Your expertise is invaluable, and I am open to any recommendations that could enhance the proposal.

Thank you for your attention to this matter. I look forward to your thoughts.

Best regards,

[Your Name]  
[Your Position]  
[Your Company]  
[Your Contact Information]","1.0","1.0","1.0","1.0"
"9","Notify about staff training","[""Training on June 28"", ""Topics: security best practices"", ""Attendance mandatory""]","informative","Attention all staff: training is scheduled for June 28 on security best practices. Attendance is mandatory, so please mark your calendars.","Mandatory Staff Training on Security Best Practices","Dear Team,

I hope this message finds you well. I am writing to inform you about an important staff training session scheduled for June 28. This training will focus on essential security best practices that are crucial for our operations and overall safety.

Please note that attendance is mandatory for all team members. Your participation is vital to ensure we are all well-equipped to uphold our security standards.

Thank you for your attention to this matter, and I look forward to seeing everyone there.

Best regards,

[Your Name]  
[Your Position]  
[Your Contact Information]","1.0","1.0","1.0","1.0"
"10","Escalate urgent security issue","[""Critical vulnerability found"", ""Immediate patch required"", ""Security team already notified""]","urgent","This is urgent: a critical vulnerability has been found and requires an immediate patch. The security team has already been notified and is taking action.","Urgent: Immediate Action Required for Critical Security Vulnerability","Dear [Recipient's Name],

I am writing to bring to your immediate attention a critical security vulnerability that has been identified within our systems. This issue poses a significant risk, and it is imperative that we implement a patch without delay to safeguard our operations.

The security team has already been notified and is prepared to address this matter promptly. However, it is essential that we prioritize this action to mitigate any potential threats.

Please let me know how we can expedite the patching process or if there are any additional resources required to resolve this issue swiftly.

Thank you for your urgent attention to this critical matter.

Best regards,

[Your Name]  
[Your Position]  
[Your Contact Information]","1.0","1.0","1.0","1.0"
